Date,Log
2018-07-16 20:38:36.347655,Commencing Fragmentation: Dog Days Episode 8
2018-07-16 20:39:32.394885,Commencing Fragmentation: Dog Days Episode 9
2018-07-16 20:39:35.399192,Commencing Fragmentation: Dog Days Episode 10
2018-07-16 20:39:37.399757,Commencing Fragmentation: Dog Days Episode 11
2018-07-16 20:39:39.392223,Commencing Fragmentation: Dog Days Episode 12
2018-07-16 20:39:40.387923,Commencing Fragmentation: Dog Days Episode 13
2018-07-16 23:53:30.413284,Dog Days conquered.
2018-07-16 23:53:31.409447,Copied World: Dog Days
2018-07-16 23:53:33.415940,Save completed.
2018-07-17 00:05:34.343832,Ready to materialize (mp4): Jashin-chan Dropkick Episode 2
2018-07-17 00:17:35.835297,Arrange Completed.
2018-07-17 00:17:52.819793,Commencing Fragmentation: Jashin-chan Dropkick Episode 2
2018-07-17 01:01:20.450222,Commencing Fragmentation: Dog Days Season 2 Episode 1
2018-07-17 01:36:31.766654,Karakai Jouzu no Takagi-san added to Fragmentations List.
2018-07-17 01:36:37.900171,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 2
2018-07-17 01:36:37.900171,Selected Fragment is unavailable.
2018-07-17 01:36:38.900882,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 2
2018-07-17 01:37:23.969709,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 3
2018-07-17 01:37:23.969709,Selected Fragment is unavailable.
2018-07-17 01:37:24.964465,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 3
2018-07-17 01:37:59.979517,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 4
2018-07-17 01:37:59.979517,Selected Fragment is unavailable.
2018-07-17 01:38:00.978434,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 4
2018-07-17 01:38:56.013002,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 5
2018-07-17 01:38:56.013002,Selected Fragment is unavailable.
2018-07-17 01:38:56.013002,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 5
2018-07-17 01:39:32.012743,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 6
2018-07-17 01:39:32.012743,Selected Fragment is unavailable.
2018-07-17 01:39:33.018455,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 6
2018-07-17 01:40:05.057211,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 7
2018-07-17 01:40:05.057211,Selected Fragment is unavailable.
2018-07-17 01:40:06.056928,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 7
2018-07-17 01:40:49.113394,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 8
2018-07-17 01:40:49.113394,Selected Fragment is unavailable.
2018-07-17 01:40:49.113394,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 8
2018-07-17 01:41:26.142385,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 9
2018-07-17 01:41:26.142385,Selected Fragment is unavailable.
2018-07-17 01:41:27.142143,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 9
2018-07-17 01:42:05.143151,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 10
2018-07-17 01:42:05.143151,Selected Fragment is unavailable.
2018-07-17 01:42:07.148601,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 10
2018-07-17 01:42:45.143364,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 11
2018-07-17 01:42:45.143364,Selected Fragment is unavailable.
2018-07-17 01:43:44.174505,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 11
2018-07-17 01:43:55.196275,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 12
2018-07-17 01:43:55.196275,Selected Fragment is unavailable.
2018-07-17 01:43:57.194747,Ready to materialize (mp4): Karakai Jouzu no Takagi-san Episode 12
2018-07-17 01:44:48.283843,Copied World: Karakai Jouzu no Takagi-san
2018-07-17 01:45:00.276863,Commencing Fragmentation: Karakai Jouzu no Takagi-san OVA
2018-07-17 01:45:00.276863,Selected Fragment is unavailable.
2018-07-17 01:45:01.271622,Ready to materialize (mp4): Karakai Jouzu no Takagi-san OVA
2018-07-17 01:54:38.695475,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 1
2018-07-17 02:25:21.077881,Save completed.
2018-07-18 02:37:35.896494,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 3
2018-07-18 02:39:24.733387,Save completed.
2018-07-18 04:34:00.646221,Commencing Fragmentation: Sono Hanabira ni Kuchizuke o- Anata to Koibito Tsunagi Episode 1
2018-07-18 04:39:31.611160,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 3
2018-07-18 05:03:25.588307,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 4
2018-07-18 05:19:21.010518,Copied World: Karakai Jouzu no Takagi-san
2018-07-18 05:38:02.604199,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 5
2018-07-18 06:42:45.312009,Save completed.
2018-07-20 02:44:15.756199,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 5
2018-07-20 03:10:54.508220,Save completed.
2018-07-20 03:30:30.307523,Copied World: Kino no Tabi- The Beautiful World - The Animated Series
2018-07-20 03:32:36.494386,Commencing Fragmentation: Kaiba Episode 1
2018-07-20 03:32:36.494386,Selected Fragment is unavailable.
2018-07-20 03:33:07.470978,Commencing Fragmentation: Kaiba Episode 1
2018-07-20 04:20:47.784775,Kaiba added to Fragmentations List.
2018-07-20 04:20:56.797266,Save completed.
2018-07-20 23:13:57.287458,Kaiba defragmented.
2018-07-20 23:14:02.474150,Save completed.
2018-07-21 13:31:58.080189,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 6
2018-07-21 14:04:27.753732,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 7
2018-07-21 14:30:54.149607,Save completed.
2018-07-22 14:00:57.205133,Kimi Ga Nozomu Eien added to Fragmentations List.
2018-07-22 14:01:01.206630,Commencing Fragmentation: Kimi Ga Nozomu Eien Episode 1
2018-07-22 14:01:01.206630,Selected Fragment is unavailable.
2018-07-22 14:01:33.188489,Commencing Fragmentation: Kimi Ga Nozomu Eien Episode 1
2018-07-22 18:10:08.000944,Save completed.
2018-07-24 05:20:16.797761,Commencing Fragmentation: Kimi Ga Nozomu Eien Episode 1
2018-07-24 05:49:06.111661,Copied World: Kimi Ga Nozomu Eien
2018-07-24 05:50:24.107688,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 8
2018-07-24 06:16:54.015383,Save completed.
2018-07-24 16:22:17.855654,Commencing Fragmentation: Furueru Kuchibiru Episode 1
2018-07-24 16:50:38.066471,Ready to materialize (mp4): Gurazeni Episode 1
2018-07-24 16:51:30.064225,Arrange Completed.
2018-07-24 17:11:51.496983,Commencing Fragmentation: Kishibe Rohan wa Ugokanai- Fugou Mura
2018-07-24 17:11:51.496983,Selected Fragment is unavailable.
2018-07-24 17:12:27.713900,1 World selected.
2018-07-24 17:12:27.713900,0 World selected.
2018-07-24 17:12:28.708920,1 World selected.
2018-07-24 17:12:34.734341,1 Fragment Uninstalled.
2018-07-24 17:12:46.737716,Kishibe Rohan wa Ugokanai Episode 1 Installed.
2018-07-24 17:12:53.847560,Kishibe Rohan wa Ugokanai Episode 2 Installed.
2018-07-24 17:13:14.838431,Save completed.
2018-07-24 17:29:08.418898,Commencing Fragmentation: Kishibe Rohan wa Ugokanai Episode 2
2018-07-24 17:29:08.418898,Selected Fragment is unavailable.
2018-07-24 17:29:10.426340,Ready to materialize (mp4): Kishibe Rohan wa Ugokanai Episode 2
2018-07-24 17:46:45.860667,Commencing Fragmentation: Kishibe Rohan wa Ugokanai Episode 2
2018-07-24 18:11:01.463916,Save completed.
2018-07-27 21:27:57.798427,Commencing Fragmentation: Karakai Jouzu no Takagi-san Episode 9
2018-07-27 21:53:31.260229,Commencing Fragmentation: Kimi Ga Nozomu Eien Episode 2
2018-07-27 21:53:31.260229,Selected Fragment is unavailable.
2018-07-27 21:54:36.198746,Commencing Fragmentation: Kimi Ga Nozomu Eien Episode 2
2018-07-27 21:58:09.327231,Copied World: Kimi Ga Nozomu Eien
2018-07-27 22:22:29.687655,Commencing Fragmentation: Kimi Ga Nozomu Eien Episode 3
2018-07-27 22:49:01.056783,Commencing Rebuild.
2018-07-27 22:49:01.056783,Rebuild successful.
2018-07-27 22:49:29.524771,Save completed.
2018-07-27 23:02:59.675378,Copied World: Chuunibyou demo Koi ga Shitai! Movie
2018-07-27 23:04:40.650930,Commencing Fragmentation: Chuunibyou demo Koi ga Shitai! Movie
2018-07-27 23:04:43.652719,Ready to materialize (mp4): Chuunibyou demo Koi ga Shitai! Movie
2018-07-27 23:30:06.767416,Commencing Rebuild.
2018-07-27 23:30:06.767416,Rebuild successful.
2018-07-27 23:30:42.227846,Save completed.
2018-07-28 06:28:28.614853,1 World selected.
2018-07-28 06:28:47.590116,Nekopara- Koneko no Hi no Yakusoku Installed.
2018-07-28 06:28:55.579899,Nothing selected to Uninstall.
2018-07-28 06:29:02.585930,Save completed.
2018-07-30 20:26:02.795493,Yokujou Bazooka Installed on OUTER MYSTERIUM.
